molecule,fruity odor
CCCCOC(=O)C(C)C,true
CCC(CC)CO,false
CCC(CC)C=O,true
C1CC(OC1)CO,true
C1=COC(=C1)C=O,false
C1=COC(=C1)CS,false
C1=CSC(=C1)C=O,false
CC(C)(C)C1CCC(CC1)O,false
CC(C)(C)C1CCC(=O)CC1,false
CC(C)(C)C1=CC=C(C=C1)O,false
CC(C1=CC=CC=C1)O,false
CC(=O)C1=CC=CC=C1,false
C1CCC(CC1)C(=O)O,true
CC1=CCC(CC1O)C(=C)C,false
CC1=CC=C(C=C1)C(=O)OC,true
CC1=CCC(C=C1)C(C)C,false
CC1=CCC(=CC1)C(C)C,false
CC1=CC=C(CC1)C(C)C,false
CC1=CC=C(C=C1)C(C)C,false
CC(C)C1=CC=C(C=C1)O,false
CC(=O)C1=CC=C(C=C1)O,true
CC(=O)C1=CC=C(C=C1)OC,false
COC1=CC=C(C=C1)C(=O)O,false
C=CC1=CC=CC=C1,false
C1=CC=C(C=C1)CS,false
COC1=CC=CC=C1,false
CSC1=CC=CC=C1,false
CCC1=CC=CC=N1,false
CC1=CC(=CC=C1)OC,false
CC(C)(CC1=CC=CC=C1)O,false
COC(=O)CC1=CC=CC=C1,true
C1COC(O1)CC2=CC=CC=C2,false
C1=CC=C(C=C1)CC2=CC=CC=C2,false
C1=CC=C(C=C1)OC2=CC=CC=C2,false
CCOC(=O)CC1=CC=CC=C1,false
C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,true
COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,false
CC(C)CCOC(=O)CC1=CC=CC=C1,true
C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,false
CCCN(CCC)CCC,false
CC(C)(CCC1=CC=CC=C1)O,false
CC(=O)OC(C)(C)CCC1=CC=CC=C1,true
CCCCC(CC)COC(=O)C,true
COC(=O)CCC1=CC=CC=C1,true
CC(C)C(=O)OCC1=CC=CC=C1,true
CCCC(=O)OCC1=CC=CC=C1,true
CC(C)CC(=O)OCC1=CC=CC=C1,true
CC(=O)OCCC1=CC=CC=C1,true
CC(C)C(=O)OCCC1=CC=CC=C1,true
C1=CC=C(C=C1)COCC2=CC=CC=C2,true
CCCC(=O)OCCC1=CC=CC=C1,true
CC(C)C(=O)OCCCC1=CC=CC=C1,true
CC1=CC=C(C=C1)OC(=O)C(C)C,true
CC(=O)OCC1=CC=C(C=C1)OC,true
CCCC1=CC=C(C=C1)OC,false
CCCCC1CCC(=O)O1,true
C1=CC=C(C=C1)CCC=O,false
C1=CC=C(C=C1)COC=O,true
C1=CC=C(C=C1)CCOC=O,false
CCCCC(CC)CO,false
CC1=CC=C(C=C1)C=O,true
CCC1=CN=C(C=C1)C,false
CC1=CC=C(C=C1)OC,false
CC(C)COC(=O)CCC1=CC=CO1,true
COC1=CC=C(C=C1)CO,true
CCCC1CCC(=O)O1,false
CCC(=O)OCC,true
CCC(C)CC(=O)O,true
CC(=O)CC(=O)OC,true
CCC(C)OC(=O)C,true
CCOC(=O)CC(=O)OCC,true
CCCC(=O)OCC,true
CCOC(C)OCC,true
C1CCC(=O)NCC1,false
CCCC(=O)OCCC,true
CC1=CC(=C(C=C1)O)C,false
CCC(=O)OCCC(C)C,true
CCCCCC(=O)OCC(C)C,true
CC(CCC=C(C)C)CCOC=O,true
CCC(=O)OCCC(C)CCCC(=C)C,false
CCCOC(=O)CCCCC(=O)OCCC,false
CC(C)CCCC(C)CCO,false
C[C@@H](CCC=C(C)C)CCO,true
CCCC(=O)OCCC(C)C,true
CCCCCCC(=O)OCC,true
CCCCCCCC(=O)OCC,true
CCCCCCCCCCCC(=O)OCC,true
CCCCC(=O)CC,true
CCCOC(=O)CC,true
COC(=O)CCC(=O)OC,true
CCC(C)CC(=O)CC,true
CCCCCC(=O)OC,true
CCCCCCC(=O)OC,true
C=CC=O,true
CCCS,false
CCCN,false
C=CCO,false
C(=O)C=O,false
COC=O,true
CC(CCCC(C)(C)O)CC=O,false
CC(C)CCN,false
CCCC(=O)C,true
CC(C)CC(=O)C,true
CC(C)CC(C)O,false
CC(C)OC(=O)C,true
CC(=C)OC(=O)C,true
CC1CCC(=O)O1,false
CC1=CC(=NC=C1)C,false
CC1=NC(=CC=C1)C,false
CC1=CN=CC(=N1)C,false
COC(=O)CC(=O)OC,true
CCOC(=O)CC(C)C,true
CC(C)CC(CC(C)C)O,true
CC(C)CC(=O)CC(C)C,true
CC(C)CC(C)OC(=O)C,true
C1CCC(CC1)O,false
C1CCC(=O)CC1,false
C1=CC=C(C=C1)S,false
CC1CCCCN1,false
CC1=CC=CC=N1,false
CC1=NC=CN=C1,false
CCCCOC(=O)CC(C)C,true
CCCCOC(=O)CCC,true
C1CCCCCCCC(=O)OCCCCCCC1,false
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,true
CC(=O)CCC=C,true
CCCCC(=O)O,true
CCCOC(=O)C,true
CCCCN,false
CCCCS,false
C(CS)CS,false
COCOC,true
CCNCC,false
CCOC=O,true
CCON=O,true
C1=CNC=C1,false
C1=COC=C1,false
C1=CSC=C1,false
CC(C)COC(=O)C,true
CCCCCCCCCCCCCC(=O)OC(C)C,false
CCCCCCCCCCCCCC(=O)OCCCC,false
CCCCCCCCCC(=O)OCC,true
CCOC(=O)CCCCCCCCC(=O)OCC,true
CCCCCCCCCC(=O)OC,true
CCCCCC(=O)C,true
CC(C)CCOC=O,true
CCCCCN,false
CCCCC=O,true
CCCCCS,false
CCCOC=O,true
CCSSCC,true
C1CCNCC1,false
CCCCCCCC(=O)OC,true
CCCCCC#CC(=O)OC,true
CCCCCCC(=O)C,true
CCCCCCC(=O)O,true
CCCCCCN,false
CCCCCCO,true
CCCCCCS,false
C=CCOCCO,false
CCCSCCC,false
CC(=O)OCCOC(=O)C,false
CCCCCCCCCCCCCCCCCC(=O)OCC,false
CCCCCCC=C,false
CCCCCCCO,true
CCCCCCC=O,false
CCCCCCC#CC(=O)OC,false
COC(=O)CCCCCCCCC=C,true
CCCCCCCCC,false
CCCCCCCCS,false
CCCCCCCCC(=O)O,false
CCCCCCCOC(=O)C,true
CCCCCCCCCC(=O)C,true
CCCCCCCCOC(=O)C,true
CCCCCCCCCCOC(=O)C,true
CCCCCCCOC=O,true
CCCCCCCCCCO,false
CCCCCCCCCC=O,false
CCCCCCCCOC=O,true
CCCCCCCCCCC(=O)O,false
CCCCCCCCCCCCCCCC(=O)OC,false
CCCCCCCCCCCO,true
C=CCCCCCCCCCO,false
CCCCCCCCCCC=O,false
C=CCCCCCCCCC=O,false
CCCCCCCCCCCCO,false
CCCCCCCCCCCC=O,false
CCCCCCCCCCCCS,false
CCCCCCCCCCCCCCCCCC(=O)OC,false
CCCCCCCCCCCCOC(=O)C,true
CCCCCCCCCCCCCO,true
CCCCCCCCCCCCCCO,true
CCCCCCCCCCCCCCCCCCO,false
CCCCCCCCCCCCCCCCCCCC,false
CC(C)(C=C)O,true
CC(=CCCC(C)(C=C)OC(=O)C)C,true
CC1CC(CC(C1)(C)C)O,false
CC(=O)CO,false
CCC(C)C(=O)O,true
CC1CC(C=C(C2C1CC(=C(C)C)C2)C)OC(=O)C,false
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,true
CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,false
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,false
CCCCC(CC)COC(=O)C1=CC=CC=C1O,true
CCOC(=O)C1=CC=CC=C1O,true
CC1=C(C(=O)C=CO1)O,true
CC(=O)C1=CC=CC=C1O,false
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,false
C1=CC=C2C=NC=CC2=C1,false
COC1=C(C=C(C=C1)C=O)OC,false
CCC(=O)OC(C)C1=CC=CC=C1,true
C1OC2=C(O1)C=C(C=C2)C=O,false
C1CCC(=O)C1,false
CCOC1=C(C=CC(=C1)C=O)O,false
COC1=C(C=CC(=C1)C(=O)O)O,false
CCOC(=O)C1C(O1)C2=CC=CC=C2,true
CCN(CC)CC,false
COC1=CC=C(C=C1)C(=O)OC,false
CC1=CC=C(C=C1)C(=O)C,true
COC(=O)C1=CC=CC=C1N,true
COC1=CC(=CC(=C1O)OC)C=O,false
COC1=CC=CC=C1C=O,false
CCCCOC(=O)C1=CC=CC=C1,true
CC1=CC=CC=C1S,false
CCC(C)CO,false
CCCCOC(=O)C(C)O,true
CC(=C)C1CCC(CC1)(C)O,false
CCC(=O)OCC(COC(=O)CC)OC(=O)CC,true
CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,false
C1=CC(=C(C=C1C=O)O)O,false
CC(=O)OCC1=CC=CC=C1,true
CCCCCCCCCCCC(=O)OCC1=CC=CC=C1,false
CC(C)CC(=O)OCCC1=CC=CC=C1,true
CC1=CC=C(C=C1)OC(=O)C,false
COC1=CC=C(C=C1)CC=C,false
CCOC(=O)C=C,true
CC(C)COC(=O)CCCCC(=O)OCC(C)C,false
CC(CCCC(=C)C)CCOC(=O)C,true
CCC(=O)OCCC(C)CCC=C(C)C,true
CCCC(=O)OCCC(C)CCC=C(C)C,true
CCOC(=O)C,true
CC(=CC(=O)C)C,false
CC(CCCC(C)(C)O)CC(OC)OC,false
CCOC(=O)CC(=O)C,true
CCCCCCC(=O)OCC=C,true
CCCCCC(=O)O,false
CCCCCCCCCCCCCCCC(=O)OC(C)C,false
CCCCCCOC(=O)C,true
CCCCOCCCC,true
CCCCCCCCCO,false
CCCCCCCCCOC(=O)C,true
COC1=CC=CC(=C1)O,false
C1=CC=C(C=C1)CSSCC2=CC=CC=C2,false
COC1=CC=C(C=C1)O,false
COC1=CC=C(C=C1)OC,false
CC(CCC=C(C)C)CCOC(=O)C,true
CC(=O)OC(C)(C)CC1=CC=CC=C1,true
COC1=CC(=CC=C1)OC,true
CCC(C)CCC(C)(CC)O,false
C1=CSC=N1,false
C1=CN=CC=N1,false
CC(=O)OCC1=CC2=C(C=C1)OCO2,false
CC(=O)C1=CN=CC=C1,false
CCSCC,false
CC(=CCCC(=O)C)C,true
CC1=C(C(CCC1)(C)C)C=O,true
CC(C)C12CCC(O1)(CC2)C,false
COC1=CC(=CC(=C1OC)OC)CC=C,false
CC1=CC(C(CC1)C(C)C)O,false
CC1=CC=NC2=CC=CC=C12,false
CCCC(=O)C1=CC=CC=C1,true
C1OC2=C(O1)C=C(C=C2)CO,false
C1C=CC(=O)O1,false
CC1CCC(CC1)C(C)(C)O,false
CC1CCC(CC1=O)C(C)C,false
CC1=C(C=C(C=C1)C(C)C)O,false
C1=CC(=CC=C1CCO)O,true
CCCCCCCCCCCCCCC1CCC(=O)O1,false
CC(CCC=C(C)C)CC(=O)O,false
CC(C)CCCC(C)CCCC(C)CCCC(=O)C,false
CC(C)CC(=O)O,true
CSCCCO,false
C1CSCCS1,false
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,false
CCCC=CC=O,true
CC(=O)S,true
CC(C)CS,false
CCC(C)S,false
CC1(C2CC=C(C1C2)CO)C,false
CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,false
COC1=C2C(=C(C(=C1)CC=C)OC)OCO2,false
CC1=C(C(=CC=C1)O)C,false
CC1=CC(=C(C(=C1)C)O)C,false
CC1=CC=CC=C1C=O,false
CC1=CC=CC=C1OC(=O)C,true
CC(OC)OC,false
CC1=CC=CO1,false
CC1=CC=C(C=C1)C(C)O,false
CC(=C)C1CCC(=CC1)CO,false
CCC1=CN=CC=C1,false
COCC1=CC=CC=C1,true
CCOCC1=CC=CC=C1,true
CCCCC(=O)OCC,true
CCOC(=O)CCC(=O)C,true
CCCC(=O)OCC(C)C,true
CCCCCC(=O)OCCCCC,true
CCC(=O)OCC(C)C,true
C(CS)S,false
CC(C)CCS,false
CC(=CC(=O)O)C,false
CC1=CSC(=N1)C,false
CC1CCCCCCCCCCCCC(=O)C1,false
CC(C)COC=O,true
CCN=C=S,false
CC(C)(CCCC(=C)C=C)O,false
CCCCCC(C)O,true
CCCCSCCCC,false
CCCCCCCCCCCCCC(=O)O,false
CC(C)C(=O)OC,true
CC(=O)C1=CC=CC=C1N,false
CCC(=O)OC,true
CC1=CC=CS1,false
CC(C)CC(=O)OC,true
CN=C=S,false
CC(=CCO)C,true
CCCOC(=O)CC(C)C,true
CC1=CCC(CC1)(C(C)C)O,false
CC(C)C(=O)C,false
CCC(=O)C(C)C,true
CC1=C(C(=CC=C1)C)O,false
CC1=CC=CC=C1C(=O)C,false
CC(=O)C(=O)C1=CC=CC=C1,false
C=CCOC(=O)C1=CC=CC=C1,true
CCCCOC(=O)C1=CC=CO1,true
CC1CCCCC1=O,false
CCC(CC)O,true
CCCCCC(=O)C(=O)C,false
CC1=CCC(=C(C)C)CC1,false
CC(C)C1=CCC(CC1)(C)O,false
CC1=CC=C(C=C1)CO,false
CCCC(C)CC,false
CCC(C)CCO,true
CCCC(=O)CC,true
CCCC(CCC)O,true
CC(C)CC(=O)OCC(C)C,true
CCCCCCCC(=O)OCCCC,true
CCCCC(CC)O,true
CC1CCC(=O)CC1,false
CCCCCC(CC)O,false
CCCCOC(=O)CC,true
CCCC(C)(C)O,false
CC(C)CC=O,true
CC1=CCC(=O)O1,false
CC1CCCC(=O)C1,false
COC1=CC=CC(=C1)C=O,false
CCCCOC(=O)CC(=O)C,true
CC(=O)CCC(=O)O,false
CCCCC(=O)C,true
CC(=O)COC(=O)C,true
CCCCN=C=S,false
CCCCOC=O,true
C=CCSCC=C,false
CCCCCCCCCCCC(=O)C,false
CC(C)C(C)O,true
CCC(=O)C(=O)C,false
CC(C)OC(=O)C1=CC=CC=C1O,true
COC(=O)C1=CC=CO1,true
CCOC(=O)C1=CC=CO1,true
CCCOC(=O)C1=CC=CO1,true
CSC1=NC2=CC=CC=C2S1,false
CCC(C=C)O,true
CCOC(=O)C1=CC(=C(C=C1)O)OC,false
CCOC(=O)C(=O)C,true
CC(C)C(=O)OC(C)C,true
CC(C)(C1=CC=CC=C1)O,false
CC1CCC(CC1O)C(=C)C,false
CC1=CC=C(O1)C=O,false
CCC1=CC(=CC=C1)O,false
CC1=CC(=CC=C1)C=O,true
CC(=O)OC1CCCCC1,true
CCOC1=CC=C(C=C1)O,false
CC(=O)OCC1=CC=CO1,true
CCCC(CC)O,false
CCCC(=O)OC,true
CC(COC(=O)C)OC(=O)C,true
CCCCC(=O)OC,true
CCC(C)COC(=O)C,true
CCCCCCC(CC)O,false
CCCCCOC(=O)CC,true
CCSC,false
CSSC,false
CC(C)OC=O,true
CC(C)SC(C)C,false
CC1=CC=C(O1)C,false
CCCC(C)OC(=O)C,true
CCCCCC(=O)OCCC,true
CCCCCC(=O)OCCCC,true
CC(C)CCCO,true
CCCCC(C)O,true
CCCCCCCCCCC(=O)OCC,true
COC(=O)CCCCC(=O)OC,true
CCCCSC,false
CC(C)CCCC(=O)O,true
CCCCCOC(=O)C,true
CCCCCCCCCCCCCCCC(=O)OCC,true
CCCCCCCC(C)O,true
CCCSSCCC,false
CCCCSSCCCC,false
CCCCCCCCCCCCCC,false
CCCCCCCCCCCCCCC,false
CC(=O)OCC1CCCO1,true
COC1=CC=C(C=C1)C=C,false
CCC(=O)OC(C)C,true
CC1=CC=C(S1)C,false
CC1NC(SC(S1)C)C,false
CCCCCOC=O,true
CCCCCCCCCCCCC(=O)O,false
CC1=CC=C(C=C1)C2=CC=CC=C2,false
CCCC1=CC=CC=C1O,false
CCCOC(=O)C(C)C,true
CC(C)C1=CC=C(C=C1)C(=O)C,false
CCCC1=CC=C(C=C1)O,false
CC(C)CCC(=O)O,false
CCCCCCCCCCCCCCCCCC(=O)OCC(C)C,false
CC(C)CCOC(=O)CC(C)C,true
CCOC(=O)CCCCCCCCC=C,true
CCCCCCCCC(=O)C,false
CC1=CSC=N1,false
CCC1CCC(=O)O1,false
CCCC1CCCC(=O)O1,false
CSSCC1=CC=CC=C1,false
CC(=O)CCC1=CC=CO1,true
CCCCCC1CCCC(=O)O1,true
CCCCCCC1CCC(=O)O1,true
CCCCCCCC1CCCC(=O)O1,true
CC(=C)CCO,true
CSCC1=CC=CC=C1,false
CCCCCCCC(=O)C,true
CC1CCCC(=O)O1,true
CC1(SC(SC(S1)(C)C)(C)C)C,true
CCC(C)C(=O)OC,true
C=CCS,false
C1=CC=C(C=C1)SSC2=CC=CC=C2,false
CCCCCCCC(=O)CC,true
C1CC=CC(=O)C1,false
CCC1=CC=C(C=C1)C(=O)C,false
CC(C)OC(=O)C1=CC=CC=C1,true
CC(=O)C1=CC=CC2=CC=CC=C21,false
CCCCCCCCCCCCCCC(=O)O,false
C1CC(=O)SC1,false
C1=CNC(=C1)C=O,false
CC(=O)C1=CC=CN1,false
CC1=CC(=C(C=C1)C(C)C)OC,false
CCCCCCCC(=O)OCCCCCC,true
CC(=O)OC(C)(C)CCCC(=C)C=C,false
CC(=O)C1=CC=CC=N1,false
CC(CO)C1=CC=CC=C1,false
CC1=C(N=C(C(=N1)C)C)C,false
CC(=O)C1=CC(=C(C=C1)OC)OC,false
CCCCCC(C)C(=O)O,false
CC(=CCOC(=O)C)C,true
C(CCCS)CCS,false
C(CCCCS)CCCS,false
CC(=O)C1=CC=CO1,false
CC1=CC(=O)CCC1,true
CC1=CC=C(O1)C(=O)C,false
CC1=CC=C(C=C1)C(C)(C)O,true
CCCCCCCCCCCCCCCCCC(=O)OCC(C)O,false
CC1(C2CCC(=C)C1C2)C,false
C1=CN(C=C1)CC2=CC=CO2,true
CC1=CC(=C(C=C1)O)C(=O)C,false
CC(CC(=O)OC)O,true
CCC(C)CCC(=O)O,true
C1CCC(CC1)S,false
CCCCCC1OCC(O1)C,true
CSCSC,false
CCC(=O)C=C,false
CCCC(=O)C=C,false
CC(C)(C)OC,false
CCCCCCCS,false
CCCCCCCCCC(C)O,true
C1CCC(C1)S,false
CCCCCCCCCCCOC(=O)C,false
CCCCCCCCC(=O)OC,true
CCCCCCCCCCC(=O)OC,true
C=CCOC(=O)CC1=CC=CC=C1,true
CCC(C)CS,false
CCOC(=O)CCC1=CC=CC=C1,true
CCCCCCCC(=O)OCCC(C)C,true
CCCCCOC(=O)C1=CC=CC=C1,true
CCCCCOC(=O)C1=CC=CC=C1O,false
C=CCSSSCC=C,false
CCCC(=O)OCC=C,true
CCCCOC(=O)CCC(=O)C,true
C=CCCC=O,false
CC(=C)C1CCC(=CC1)C=O,false
CC1=CCC(CC1)C(C)(C)OC=O,true
CC(C)COC1=CC2=CC=CC=C2C=C1,true
C=CCSSCC=C,false
CCCSSCC=C,false
CCCSSC,false
CCCCCC(=O)OCCC(C)C,true
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,false
CCCCCCCOC(=O)CC,true
C1=CC=C(C=C1)CCN=C=S,false
CCCCCC1=CC=CC=N1,false
CCCCCCCCC1CCC(=O)O1,true
CCCCCC(=O)OC(C)C,true
CCCCCCCCCC(=O)OC(C)C,true
CCCOC(=O)C1=CC=CC=C1,false
CC1=NCCS1,false
CCCCCCOC(=O)C(C)C,true
CC1=NC2=CC=CC=C2N=C1C,false
CCC1C=CC(=O)O1,true
CC1CCCC(C1=O)(C)C,false
CC(C)CCC(=O)OC,true
CC1=CCC(CC1)C(C)(C)O,false
CCCCCC(C=C)OC(=O)C,true
CCC(C)COC(=O)C(C)CC,true
CC(=O)C1=CC(=C(C(=C1)OC)O)OC,false
CC(=O)CCC1=CC=CC=C1,false
C1CCC(CC1)SSC2CCCCC2,false
CCCCCCOC(=O)CCC,true
CCC(C)OCC,true
C=CCOC(=O)CCC1CCCCC1,true
CC(=O)NC1=CC=CC=C1C(=O)OC,true
CC1=CC(=O)CC1,true
CC1SC(SC(S1)C)C,false
CCCC1=CC(=C(C=C1)O)OC,false
CC(C)CC(=O)OCC=C,true
CC1=NC=CN=C1OC,false
CSS(=O)(=O)C,false
COC1=NC=CN=C1,false
CC1C(=O)CCO1,false
